"gene.symbol","description","entrezgene"
"NCOR2","nuclear receptor corepressor 2 isoform X8 [KO:K06065]","416815"
"CIR1","corepressor interacting with RBPJ 1 [KO:K06066]","426529"
"HDAC2","histone deacetylase 2 [KO:K06067] [EC:3.5.1.98]","395635"
"HDAC1","histone deacetylase 1 [KO:K06067] [EC:3.5.1.98]","373961"
"PORCN","LOW QUALITY PROTEIN: protein-serine O-palmitoleoyltransferase porcupine [KO:K00181] [EC:2.3.1.250]","107050792"
"CER1","cerberus precursor [KO:K01645]","395623"
"NOTUM","palmitoleoyl-protein carboxylesterase NOTUM [KO:K19882] [EC:3.1.1.98]","417385"
"WIF1","wnt inhibitory factor 1 precursor [KO:K01691]","417831"
"SERPINF1","pigment epithelium-derived factor precursor [KO:K19614]","417561"
"SOST","sclerostin [KO:K16834]","429784"
"DKK2","dickkopf-related protein 2 isoform X2 [KO:K02165]","422531"
"DKK1","dickkopf-related protein 1 [KO:K02165]","374156"
"SFRP1","secreted frizzled-related protein 1 precursor [KO:K02166]","395237"
"SFRP2","secreted frizzled-related protein 2 precursor [KO:K02176]","395546"
"SFRP4","secreted frizzled-related protein 4 isoform X1 [KO:K02185]","420732"
"SFRP5","secreted frizzled-related protein 5 precursor [KO:K02222]","423838"
"RSPO1","R-spondin-1 precursor [KO:K19471]","419613"
"RSPO2","R-spondin-2 precursor [KO:K23097]","420271"
"RSPO3","R-spondin-3 precursor [KO:K23098]","421715"
"RSPO4","R-spondin-4 isoform X1 [KO:K23099]","428155"
"LGR4","leucine-rich repeat-containing G-protein coupled receptor 4 [KO:K04309]","428605"
"LGR5","leucine-rich repeat-containing G-protein coupled receptor 5 [KO:K04308]","427867"
"LGR6","leucine-rich repeat-containing G-protein coupled receptor 6 isoform X1 [KO:K08399]","421173"
"RNF43","E3 ubiquitin-protein ligase RNF43 isoform X1 [KO:K15694] [EC:2.3.2.27]","100857874"
"ZNRF3","E3 ubiquitin-protein ligase ZNRF3 isoform X1 [KO:K16273] [EC:2.3.2.27]","416919"
"LRP6","LOW QUALITY PROTEIN: low-density lipoprotein receptor-related protein 6 [KO:K03068]","419097"
"LRP5","low-density lipoprotein receptor-related protein 5 precursor [KO:K03068]","423114"
NA,"GSK-3-binding protein FRAT2 [KO:K03096]","107052763"
"NKD1","protein naked cuticle homolog 1 isoform X2 [KO:K03213]","415729"
NA,"CXXC-type zinc finger protein 4 isoform X1 [KO:K03344]","107051757"
"SENP2","sentrin-specific protease 2 [KO:K03345] [EC:3.4.22.68]","424864"
"AXIN1","axin-1 [KO:K02157]","395786"
"AXIN2","axin-2 [KO:K04385]","395152"
"CTNNBIP1","beta-catenin-interacting protein 1 [KO:K04493]","771460"
"SOX17","transcription factor SOX-17 [KO:K04495]","428534"
"RUVBL1","ruvB-like 1 [KO:K04499]","416022"
"WISP1","WNT1-inducible-signaling pathway protein 1 precursor [KO:K22471]","420322"
"PPARD","peroxisome proliferator-activated receptor delta [KO:K04504]","395479"
"MMP7","matrilysin precursor [KO:K01397] [EC:3.4.24.23]","418983"
"SIAH1","E3 ubiquitin-protein ligase SIAH1 [KO:K04506] [EC:2.3.2.27]","374076"
"CACYBP","calcyclin-binding protein [KO:K04507]","424437"
"TBL1X","F-box-like/WD repeat-containing protein TBL1X [KO:K04508]","426045"
"TBL1XR1","F-box-like/WD repeat-containing protein TBL1XR1 [KO:K04508]","426284"
"GPC4","glypican-4 [KO:K08110]","422234"
"ROR1","inactive tyrosine-protein kinase transmembrane receptor ROR1 [KO:K05122] [EC:2.7.10.1]","395179"
"ROR2","tyrosine-protein kinase transmembrane receptor ROR2 precursor [KO:K05123] [EC:2.7.10.1]","769516"
"RYK","tyrosine-protein kinase RYK [KO:K05128] [EC:2.7.10.1]","395409"
"VANGL1","vang-like protein 1 isoform X2 [KO:K04510]","418337"
"VANGL2","vang-like protein 2 isoform X1 [KO:K04510]","426903"
"PRICKLE1","prickle-like protein 1 [KO:K04511]","417793"
"PRICKLE2","prickle-like protein 2 isoform X2 [KO:K04511]","771427"
"INVS","inversin [KO:K19626]","395234"
"DAAM1","disheveled-associated activator of morphogenesis 1 [KO:K04512]","423532"
"DAAM2","disheveled-associated activator of morphogenesis 2 isoform X3 [KO:K04512]","421422"
"ADRA1A","alpha-1A adrenergic receptor [KO:K04135]","428203"
"ADRA1B","alpha-1B adrenergic receptor isoform X1 [KO:K04136]","373890"
"ADRA1D","alpha-1D adrenergic receptor [KO:K04137]","422933"
"EDN2","endothelin-2 precursor [KO:K16367]","419559"
"EDN3","endothelin-3 isoform X1 [KO:K05227]","768509"
"EDNRA","endothelin-1 receptor precursor [KO:K04197]","373908"
"AVP","vasotocin-neurophysin VT precursor [KO:K05242]","396101"
"AVPR1A","vasopressin V1a receptor [KO:K04226]","771773"
"AVPR1B","vasopressin V1b receptor [KO:K04227]","428263"
"PLA2G1BL","phospholipase A2, minor isoenzyme [KO:K01047] [EC:3.1.1.4]","770292"
"PLA2G2E","group IIE secretory phospholipase A2 precursor [KO:K01047] [EC:3.1.1.4]","426747"
"PLA2G10","group 10 secretory phospholipase A2 precursor [KO:K01047] [EC:3.1.1.4]","416425"
"PLA2G12B","group XIIB secretory phospholipase A2-like protein isoform X1 [KO:K01047] [EC:3.1.1.4]","423705"
"PLA2G5","calcium-dependent phospholipase A2 precursor [KO:K01047] [EC:3.1.1.4]","771655"
"PLA2G2A","phospholipase A2, membrane associated precursor [KO:K01047] [EC:3.1.1.4]","426748"
"PLA2G1B","phospholipase A2 group IB precursor [KO:K01047] [EC:3.1.1.4]","416980"
"PLA2G10L","phospholipase A2 [KO:K01047] [EC:3.1.1.4]","418356"
"PROCA1","protein PROCA1 [KO:K01047] [EC:3.1.1.4]","100858782"
"PLA2G3","group 3 secretory phospholipase A2 [KO:K01047] [EC:3.1.1.4]","107051573"
"PLA2G6","85/88 kDa calcium-independent phospholipase A2 [KO:K16343] [EC:3.1.1.4]","418028"
"KCNMA1","calcium-activated potassium channel subunit alpha-1 [KO:K04936]","374065"
"KCNU1","potassium channel subfamily U member 1 [KO:K05274]","100857499"
"KCNMB1","calcium-activated potassium channel subunit beta-1 [KO:K04937]","395301"
"KCNMB2","calcium-activated potassium channel subunit beta-2 isoform X2 [KO:K04938]","770907"
"KCNMB4","calcium-activated potassium channel subunit beta-4 [KO:K04941]","417852"
"PRKCH","protein kinase C eta type isoform X2 [KO:K18051] [EC:2.7.11.13]","423518"
"CALD1","caldesmon [KO:K12327]","373965"
"ACTG2","actin, gamma-enteric smooth muscle [KO:K12315]","396084"
"ARHGEF11","rho guanine nucleotide exchange factor 11 isoform X1 [KO:K12331]","425979"
"ADORA2A","adenosine receptor A2a [KO:K04266]","427705"
"ADORA2B","adenosine receptor A2b [KO:K04267]","395971"
"CALCB","calcitonin isoform 1 preproprotein [KO:K12332]","396256"
"ADM","ADM [KO:K12333]","423042"
"CALCRL","calcitonin gene-related peptide type 1 receptor precursor [KO:K04577]","423990"
"RAMP1","receptor activity-modifying protein 1 [KO:K08447]","424016"
"RAMP2","receptor activity-modifying protein 2 precursor [KO:K08448]","420022"
"RAMP3","receptor activity-modifying protein 3 precursor [KO:K08449]","420786"
"NPPA","natriuretic peptides B precursor [KO:K12334]","395765"
NA,"atrial natriuretic peptide receptor 1 [KO:K12323] [EC:4.6.1.2]","107055115"
"NPPC","C-type natriuretic peptide precursor [KO:K12336]","419487"
"NPPC","C-type natriuretic peptide [KO:K12336]","101748596"
"NPR2","atrial natriuretic peptide receptor 2 [KO:K12324] [EC:4.6.1.2]","100859339"
"MRVI1","protein MRVI1 isoform X1 [KO:K12337]","423037"
"ADRB2","beta-2 adrenergic receptor [KO:K04142]","427623"
"ATP1A1","sodium/potassium-transporting ATPase subunit alpha-1 precursor [KO:K01539] [EC:7.2.2.13]","396530"
"ATP1B4","protein ATP1B4 [KO:K01540]","422365"
"ATP1B1","sodium/potassium-transporting ATPase subunit beta-1 [KO:K01540]","396529"
"ATP1B3","sodium/potassium-transporting ATPase subunit beta-3 [KO:K01540]","396549"
NA,"sodium/potassium-transporting ATPase subunit beta-2 [KO:K01540]","107050378"
"FXYD2","sodium/potassium-transporting ATPase subunit gamma [KO:K01538]","419770"
"KCNQ1","potassium voltage-gated channel subfamily KQT member 1 isoform X1 [KO:K04926]","423090"
"KCNE1","potassium voltage-gated channel subfamily E member 1 [KO:K04894]","101748386"
"ATP2B4","plasma membrane calcium-transporting ATPase 4 isoform X2 [KO:K05850] [EC:7.2.2.10]","419934"
"ATP2B1","plasma membrane calcium-transporting ATPase 1 [KO:K05850] [EC:7.2.2.10]","374244"
"ATP2B2","plasma membrane calcium-transporting ATPase 2 [KO:K05850] [EC:7.2.2.10]","415958"
"SCN5A","sodium channel protein type 5 subunit alpha [KO:K04838]","395947"
NA,"sodium channel subunit beta-1 [KO:K04845]","107051305"
"SCN4B","sodium channel subunit beta-4 isoform X1 [KO:K04848]","419774"
"CACNB1","voltage-dependent L-type calcium channel subunit beta-1 isoform X1 [KO:K04862]","777366"
"CACNB2","voltage-dependent L-type calcium channel subunit beta-2 isoform X1 [KO:K04863]","428420"
NA,"voltage-dependent L-type calcium channel subunit beta-3 isoform X1 [KO:K04864]","107050029"
"CACNB4","voltage-dependent L-type calcium channel subunit beta-4 isoform a [KO:K04865]","374259"
"CACNA2D1","voltage-dependent calcium channel subunit alpha-2/delta-1 preproprotein [KO:K04858]","768444"
"CACNA2D2","voltage-dependent calcium channel subunit alpha-2/delta-2 isoform X1 [KO:K04859]","430150"
"CACNA2D3","voltage-dependent calcium channel subunit alpha-2/delta-3 isoform X2 [KO:K04860]","415996"
"CACNA2D4","voltage-dependent calcium channel subunit alpha-2/delta-4 [KO:K04861]","100858946"
"CACNG1","voltage-dependent calcium channel gamma-1 subunit [KO:K04866]","417428"
"CACNG2","voltage-dependent calcium channel gamma-2 subunit isoform X2 [KO:K04867]","427909"
"CACNG3","voltage-dependent calcium channel gamma-3 subunit [KO:K04868]","395378"
"CACNG4","voltage-dependent calcium channel gamma-4 subunit [KO:K04869]","373924"
"CACNG5","voltage-dependent calcium channel gamma-5 subunit [KO:K04870]","417429"
"CACNG7","LOW QUALITY PROTEIN: voltage-dependent calcium channel gamma-7 subunit [KO:K04872]","107050634"
"PPP2R3B","serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta isoform X1 [KO:K11583]","418670"
"PPP2R3C","serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma isoform X2 [KO:K11583]","423324"
"PPP2R3A","serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform X2 [KO:K11583]","424733"
"PPP2R5E","serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform isoform X1 [KO:K11584]","423512"
"PPP2R5C","serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform [KO:K11584]","423460"
"PPP2R5D","serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform isoform X1 [KO:K11584]","421250"
"PPP2R5A","serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform [KO:K11584]","421372"
"TNNC1","troponin C, slow skeletal and cardiac muscles [KO:K05865]","396032"
"TNNT2","troponin T, cardiac muscle isoforms [KO:K12045]","396433"
"TPM1","tropomyosin alpha-1 chain [KO:K10373]","396366"
"TPM2","tropomyosin beta chain [KO:K09290]","396430"
"TPM3","tropomyosin alpha-3 chain isoform a [KO:K09290]","770103"
"TPM4","tropomyosin alpha-4 chain isoform X1 [KO:K10375]","107055375"
"ACTC1","actin, alpha cardiac muscle 1 [KO:K12314]","423298"
"MYH7","myosin-7 [KO:K17751]","395350"
"MYH15","myosin heavy chain, cardiac muscle isoform [KO:K17751]","395534"
"MYH7B","myosin-7B [KO:K17751]","395279"
"PLN","cardiac phospholamban [KO:K05852]","396378"
"AGTR2","type-2 angiotensin II receptor [KO:K04167]","428708"
"PPP1R1A","protein phosphatase 1 regulatory subunit 1A [KO:K08050]","100857781"
"RPS6KA5","ribosomal protein S6 kinase alpha-5 [KO:K04445] [EC:2.7.11.1]","423408"
"CREB5","cyclic AMP-responsive element-binding protein 5 isoform X3 [KO:K09047]","428435"
"CREM","cAMP-responsive element modulator isoform 1 [KO:K09052]","378903"
"RAPGEF3","rap guanine nucleotide exchange factor 3 isoform X1 [KO:K08014]","426888"
"RAPGEF4","rap guanine nucleotide exchange factor 4 isoform X4 [KO:K04351]","429022"
"UQCRFS1","cytochrome b-c1 complex subunit Rieske, mitochondrial precursor [KO:K00411] [EC:7.1.1.8]","415752"
"CYTB","cytochrome b [KO:K00412]","807641"
"UQCRC1","cytochrome b-c1 complex subunit 1, mitochondrial [KO:K00414]","416013"
"UQCRC2","cytochrome b-c1 complex subunit 2, mitochondrial isoform X2 [KO:K00415]","427009"
"UQCRH","cytochrome b-c1 complex subunit 6, mitochondrial [KO:K00416]","771939"
"UQCRB","cytochrome b-c1 complex subunit 7 [KO:K00417]","420236"
"UQCRQ","cytochrome b-c1 complex subunit 8 [KO:K00418]","416336"
"UQCR10","cytochrome b-c1 complex subunit 9 [KO:K00419]","770937"
"UQCR11","cytochrome b-c1 complex subunit 10 [KO:K00420]","770135"
"COX3","cytochrome c oxidase subunit III [KO:K02262]","807637"
"COX1","cytochrome c oxidase subunit I [KO:K02256] [EC:1.9.3.1]","807639"
"COX2","cytochrome c oxidase subunit II [KO:K02261]","807635"
"COX4I2","cytochrome c oxidase subunit 4 isoform 1, mitochondrial [KO:K02263]","415826"
"COX5A","cytochrome c oxidase subunit 5A, mitochondrial [KO:K02264]","769735"
NA,"cytochrome c oxidase subunit 5B, mitochondrial [KO:K02265]","107049545"
"COX6A1","cytochrome c oxidase subunit VIa polypeptide 1 isoform 1 [KO:K02266]","416978"
"COX6C","cytochrome c oxidase subunit 6C [KO:K02268]","420243"
"COX7A2L","cytochrome c oxidase subunit VIIa polypeptide 2 like isoform 1 [KO:K02270]","421392"
"COX7A2","cytochrome c oxidase subunit 7A2, mitochondrial [KO:K02270]","772260"
"COX7B","cytochrome c oxidase subunit 7B, mitochondrial [KO:K02271]","771947"
"COX7C","cytochrome c oxidase subunit 7C, mitochondrial [KO:K02272]","431629"
"COX8A","uncharacterized protein COX8A [KO:K02273]","775974"
"CDK6","cyclin-dependent kinase 6 [KO:K02091] [EC:2.7.11.22]","420558"
"RB1","retinoblastoma-associated protein [KO:K06618]","386582"
"RBL2","retinoblastoma-like protein 2 [KO:K16332]","425111"
"E2F1","transcription factor E2F1 [KO:K17454]","396142"
"E2F2","LOW QUALITY PROTEIN: transcription factor E2F2 [KO:K09389]","425366"
"E2F3","transcription factor E2F3 isoform X2 [KO:K06620]","420824"
"FOXO3","forkhead box protein O3 [KO:K09408]","421769"
"CDKN1A","cyclin-dependent kinase inhibitor 1 [KO:K06625]","378914"
"CCNE1","G1/S-specific cyclin-E1 [KO:K06626]","426117"
"CCNE2","G1/S-specific cyclin-E2 [KO:K06626]","420231"
"SIRT1","NAD-dependent protein deacetylase sirtuin-1 [KO:K11411] [EC:3.5.1.-]","423646"
"MYBL2","myb-related protein B [KO:K21769]","396258"
"LIN9","protein lin-9 homolog [KO:K21773]","421316"
"LIN52","protein lin-52 homolog [KO:K21775]","423346"
"LIN54","protein lin-54 homolog isoform X2 [KO:K21776]","422595"
"RBBP4","histone-binding protein RBBP4 [KO:K10752]","395658"
"FOXM1","forkhead box protein M1 [KO:K09406]","430534"
"RASSF5","ras association domain-containing protein 5 [KO:K08015]","419844"
"HIPK3","homeodomain-interacting protein kinase 3 [KO:K08826] [EC:2.7.11.1]","421597"
"HIPK2","homeodomain-interacting protein kinase 2 isoform X6 [KO:K08826] [EC:2.7.11.1]","374138"
"HIPK1","homeodomain-interacting protein kinase 1 isoform X1 [KO:K08826] [EC:2.7.11.1]","419880"
"ETS1","protein C-ets-1 [KO:K02678]","396235"
"GADD45A","growth arrest and DNA damage-inducible protein GADD45 alpha [KO:K04402]","693255"
"GADD45G","growth arrest and DNA damage-inducible protein GADD45 gamma [KO:K04402]","429929"
"GADD45B","growth arrest and DNA damage-inducible protein GADD45 beta [KO:K04402]","100859853"
"MRE11","double-strand break repair protein MRE11 [KO:K10865]","395555"
"RAD50","DNA repair protein RAD50 isoform X1 [KO:K10866] [EC:3.6.-.-]","416329"
"NBN","nibrin [KO:K10867]","374246"
"ATM","serine-protein kinase ATM [KO:K04728] [EC:2.7.11.1]","395401"
"CHEK2","serine/threonine-protein kinase Chk2 [KO:K06641] [EC:2.7.11.1]","768913"
"RAD9A","cell cycle checkpoint control protein RAD9A [KO:K10994] [EC:3.1.11.2]","404777"
"RAD9B","cell cycle checkpoint control protein RAD9B isoform X1 [KO:K10995]","416868"
"RAD1","cell cycle checkpoint protein RAD1 [KO:K02830] [EC:3.1.11.2]","427432"
"HUS1","checkpoint protein HUS1 isoform X4 [KO:K10903]","428471"
"ATR","serine/threonine-protein kinase ATR [KO:K06640] [EC:2.7.11.1]","424777"
"CHEK1","serine/threonine-protein kinase Chk1 [KO:K02216] [EC:2.7.11.1]","374260"
"SQSTM1","sequestosome-1 isoform X1 [KO:K14381]","770805"
"TRAF3IP2","adapter protein CIKS isoform X4 [KO:K21124]","421752"
"IGFBP3","insulin-like growth factor-binding protein 3 precursor [KO:K10138]","420790"
"ZFP36L1","mRNA decay activator protein ZFP36L1 [KO:K18753]","101751828"
"ZFP36L2","mRNA decay activator protein ZFP36L2 [KO:K18753]","107052930"
"TRPV4","transient receptor potential cation channel subfamily V member 4 [KO:K04973]","395427"
"CAPN11","calpain-1 catalytic subunit [KO:K01367] [EC:3.4.22.52]","396240"
"CAPN1","calpain-1 catalytic subunit [KO:K01367] [EC:3.4.22.52]","693249"
"SLC25A4","ADP/ATP translocase 1 [KO:K05863]","422546"
"SLC25A5","ADP/ATP translocase 2 [KO:K05863]","772225"
"PPID","peptidyl-prolyl cis-trans isomerase D [KO:K05864] [EC:5.2.1.8]","428725"
NA,"uncharacterized protein LOC101749275 [KO:K17595]","101749275"
"SPATA2","spermatogenesis-associated protein 2 [KO:K17595]","419355"
"SPATA2L","spermatogenesis-associated protein 2-like protein [KO:K17595]","107054333"
"CFLAR","CASP8 and FADD-like apoptosis regulator [KO:K04724]","424080"
"GLUD1","glutamate dehydrogenase 1, mitochondrial [KO:K00261] [EC:1.4.1.3]","423612"
"GLUL","glutamine synthetase [KO:K01915] [EC:6.3.1.2]","396489"
"GSL","glutamine synthetase [KO:K01915] [EC:6.3.1.2]","417253"
"FTH1","ferritin heavy chain [KO:K00522] [EC:1.16.3.2]","395970"
"SMPD1","LOW QUALITY PROTEIN: sphingomyelin phosphodiesterase [KO:K12350] [EC:3.1.4.12]","419077"
"MLKL","mixed lineage kinase domain-like protein [KO:K08849] [EC:2.7.11.1]","415686"
"PGAM5","serine/threonine-protein phosphatase PGAM5, mitochondrial isoform X1 [KO:K15637] [EC:3.1.3.16]","416789"
"CHMP2A","charged multivesicular body protein 2a [KO:K12191]","776036"
"CHMP2B","charged multivesicular body protein 2b [KO:K12192]","418461"
"CHMP3","charged multivesicular body protein 3 [KO:K12193]","422918"
"CHMP4C","charged multivesicular body protein 4c [KO:K12194]","420201"
"CHMP4B","charged multivesicular body protein 4b [KO:K12194]","419150"
"CHMP6","charged multivesicular body protein 6 [KO:K12195]","428673"
"VPS4A","vacuolar protein sorting-associated protein 4A [KO:K12196]","425637"
"VPS4B","vacuolar protein sorting-associated protein 4B [KO:K12196]","420901"
"CHMP1B","charged multivesicular body protein 1b [KO:K12197]","422143"
"CHMP1A","charged multivesicular body protein 1a [KO:K12197]","415841"
"CHMP5","charged multivesicular body protein 5 [KO:K12198]","420968"
"CHMP7","charged multivesicular body protein 7 [KO:K15053]","419535"
"HMGB1","high mobility group protein B1 [KO:K10802]","395724"
"FAF1","FAS-associated factor 1 isoform X1 [KO:K20703]","424629"
"JAK3","tyrosine-protein kinase JAK3 [KO:K11218] [EC:2.7.10.2]","395845"
"STAT4","signal transducer and activator of transcription 4 [KO:K11222]","768406"
"STAT6","signal transducer and activator of transcription 6 [KO:K11225]","100859196"
"USP21","ubiquitin carboxyl-terminal hydrolase 21 isoform X1 [KO:K21634] [EC:3.4.19.12]","107057453"
"PARP1","poly [ADP-ribose] polymerase 1 [KO:K10798] [EC:2.4.2.30]","396199"
"PARP4","poly [ADP-ribose] polymerase 4 [KO:K10798] [EC:2.4.2.30]","418958"
"PARP3","poly [ADP-ribose] polymerase 3 [KO:K10798] [EC:2.4.2.30]","771158"
"AIFM1","apoptosis-inducing factor 1, mitochondrial [KO:K04727] [EC:1.-.-.-]","428688"
"HIST1H2A3","histone H2A-IV [KO:K11251]","427881"
"HIST1H2A4","histone H2A-IV [KO:K11251]","404299"
"H2AFV","histone H2A.V isoform X1 [KO:K11251]","426617"
"H2AFJ","histone H2A.J [KO:K11251]","417947"
"H2AFZ","histone H2A.Z [KO:K11251]","426361"
"HIST1H2A4L3","histone H2A-III [KO:K11251]","417955"
"HIST1H2A4L2","histone H2A-IV [KO:K11251]","427891"
"HIST1H2A4L4","histone H2A-IV [KO:K11251]","427895"
"H2AFY2","core histone macro-H2A.2 [KO:K11251]","423721"
"H2AFY","core histone macro-H2A.1 [KO:K11251]","395858"
"H2AFX","histone H2A [KO:K11251]","100857391"
"HIST1H2A4L1","histone H2A-IV [KO:K11251]","100858459"
"HISTH2A4L1","histone H2A-IV-like 1 [KO:K11251]","101749238"
"PPIA","peptidyl-prolyl cis-trans isomerase A [KO:K03767] [EC:5.2.1.8]","776282"
"SLC7A11","cystine/glutamate transporter isoform X2 [KO:K13869]","428731"
"CGTL","cystine/glutamate transporter isoform X1 [KO:K13869]","418109"
"GCLC","glutamate--cysteine ligase catalytic subunit [KO:K11204] [EC:6.3.2.2]","421894"
"GCLM","glutamate--cysteine ligase regulatory subunit [KO:K11205]","424492"
"GSS","glutathione synthetase [KO:K21456] [EC:6.3.2.3]","428135"
"GPX4","phospholipid hydroperoxide glutathione peroxidase isoform C [KO:K05361] [EC:1.11.1.12]","374056"
"LPCAT3","lysophospholipid acyltransferase 5 [KO:K13515] [EC:2.3.1.- 2.3.1.23]","418293"
"SAT1","diamine acetyltransferase 1 [KO:K00657] [EC:2.3.1.57]","374006"
"TF","ovotransferrin precursor [KO:K14736]","396241"
"TFR2","transferrin receptor protein 1 [KO:K06503]","396191"
"STEAP3","metalloreductase STEAP3 [KO:K10142] [EC:1.16.1.-]","424275"
"SLC11A2","natural resistance-associated macrophage protein 2 isoform 2 [KO:K21398]","751817"
"SLC39A8","zinc transporter ZIP8 isoform X1 [KO:K14714]","430411"
"SLC39A14","zinc transporter ZIP14 isoform X5 [KO:K14720]","429550"
NA,"poly(rC)-binding protein 2 isoform X1 [KO:K13162]","426023"
"SLC40A1","solute carrier family 40 member 1 [KO:K14685]","423984"
"CP","ceruloplasmin [KO:K13624] [EC:1.16.3.1]","771940"
"MAP1LC3A","microtubule-associated proteins 1A/1B light chain 3A [KO:K10435]","419142"
"MAP1LC3C","microtubule-associated proteins 1A/1B light chain 3C isoform X1 [KO:K10435]","421504"
"MAP1LC3B2","microtubule-associated proteins 1A/1B light chain 3B [KO:K10435]","427559"
"ATG7","ubiquitin-like modifier-activating enzyme ATG7 [KO:K08337]","415961"
"NCOA4","nuclear receptor coactivator 4 [KO:K09289]","423615"
"PRNP","major prion protein homolog preproprotein [KO:K05634]","396452"
"HMOX1","heme oxygenase 1 [KO:K00510] [EC:1.14.14.18]","396287"
"CASP6","caspase-6 [KO:K04396] [EC:3.4.22.59]","395477"
"CASP7","caspase-7 isoform X1 [KO:K04397] [EC:3.4.22.60]","423901"
"DIABLO","diablo homolog, mitochondrial isoform X2 [KO:K10522]","416860"
"SEPT4","septin-4 isoform X3 [KO:K16943]","770762"
"HTRA2","serine protease HTRA2, mitochondrial isoform X1 [KO:K08669] [EC:3.4.21.108]","395990"
"PRF1","perforin-1 isoform X2 [KO:K07818]","101750363"
"MCL1","induced myeloid leukemia cell differentiation protein Mcl-1 isoform 1 [KO:K02539]","395674"
"SPTAN1","spectrin alpha chain, non-erythrocytic 1 [KO:K06114]","374234"
NA,"lamin-A [KO:K12641]","396224"
"LMNB2","lamin-B2 [KO:K07611]","396222"
"LMNB1","lamin-B1 [KO:K07611]","396223"
"LMINA","lamin-L(III) isoform X1 [KO:K07611]","415464"
"DFFA","DNA fragmentation factor subunit alpha isoform X2 [KO:K02310]","419451"
"DFFB","DNA fragmentation factor subunit beta [KO:K02311] [EC:3.-.-.-]","374158"
"ENDOG","endonuclease G, mitochondrial [KO:K01173]","417204"
"ERN2","serine/threonine-protein kinase/endoribonuclease IRE2 precursor [KO:K08852] [EC:3.1.26.- 2.7.11.1]","771230"
"ERN1","serine/threonine-protein kinase/endoribonuclease IRE1 precursor [KO:K08852] [EC:3.1.26.- 2.7.11.1]","417414"
"DDIT3","uncharacterized protein DDIT3 [KO:K04452]","100857832"
"CTSC","dipeptidyl peptidase 1 precursor [KO:K01275] [EC:3.4.14.1]","419014"
"CTSD","cathepsin D precursor [KO:K01379] [EC:3.4.23.5]","396090"
"CTSH","pro-cathepsin H precursor [KO:K01366] [EC:3.4.22.16]","770109"
"CTSV","cathepsin L1 precursor [KO:K01365] [EC:3.4.22.15]","427466"
NA,"cathepsin L1-like isoform 1 precursor [KO:K01365] [EC:3.4.22.15]","420160"
"CTSO","cathepsin O precursor [KO:K01374] [EC:3.4.22.42]","422410"
"CTSS","cathepsin S precursor [KO:K01368] [EC:3.4.22.27]","425657"
"CTSZ","cathepsin Z [KO:K08568] [EC:3.4.18.1]","419311"
"BIRC5","survivin isoform 1 [KO:K08731]","374078"
NA,"baculoviral IAP repeat-containing protein 5.1 [KO:K08731]","768589"
"BCL2L11","bcl-2-like protein 11 [KO:K16341]","107052854"
"DAB2IP","disabled homolog 2-interacting protein isoform X1 [KO:K19901]","417117"
"PTPN13","tyrosine-protein phosphatase non-receptor type 13 isoform X1 [KO:K02374]","422591"
"TRAF1","TNF receptor-associated factor 1 isoform X4 [KO:K03172]","417123"
"BCL2A1","bcl-2-related protein A1 [KO:K02162]","395673"
"LRRC27","LOW QUALITY PROTEIN: p53-induced death domain-containing protein 1 [KO:K10130]","426464"
"PMAIP1","phorbol-12-myristate-13-acetate-induced protein 1 [KO:K10131]","770077"
"CASP2","caspase-2 [KO:K02186] [EC:3.4.22.55]","395857"
"NGF","beta-nerve growth factor precursor [KO:K02582]","396466"
"NTRK1","high affinity nerve growth factor receptor precursor [KO:K03176] [EC:2.7.10.1]","396337"
"CRCBL","cytokine receptor common subunit beta isoform X1 [KO:K04738]","771315"
"SLC7A5","large neutral amino acids transporter small subunit 1 [KO:K13780]","415832"
"SLC38A9","sodium-coupled neutral amino acid transporter 9 isoform X1 [KO:K14995]","427139"
"ATP6V1A","V-type proton ATPase catalytic subunit A [KO:K02145] [EC:7.1.2.2]","395821"
"ATP6V1AL","V-type proton ATPase catalytic subunit A-like [KO:K02145] [EC:7.1.2.2]","776719"
"ATP6V1B2","V-type proton ATPase subunit B [KO:K02147]","395497"
"ATP6V1C2","V-type proton ATPase subunit C 2 isoform X2 [KO:K02148]","421939"
"ATP6V1C1","V-type proton ATPase subunit C 1 [KO:K02148]","420259"
"ATP6V1D","V-type proton ATPase subunit D [KO:K02149]","423280"
"ATP6V1E1","V-type proton ATPase subunit E 1 [KO:K02150]","418162"
"ATP6V1G1","V-type proton ATPase subunit G 1 [KO:K02152]","417249"
"ATP6V1G3","V-type proton ATPase subunit G 3 [KO:K02152]","424349"
"ATP6V1H","V-type proton ATPase subunit H [KO:K02144]","426199"
"LAMTOR1","ragulator complex protein LAMTOR1 [KO:K20397]","100857186"
"LAMTOR2","ragulator complex protein LAMTOR2 [KO:K20398]","100859842"
