"gene.symbol","description","entrezgene"
"Zim1","zinc finger, imprinted 1 [KO:K09228]","22776"
"Zfp334","zinc finger protein 334 [KO:K09228]","228876"
"Zfp189","zinc finger protein 189 [KO:K09228]","230162"
"Zfp12","zinc finger protein 12 [KO:K09228]","231866"
"Zfp954","zinc finger protein 954 [KO:K09228]","232853"
"Zfp418","zinc finger protein 418 [KO:K09228]","232854"
"Zfp772","zinc finger protein 772 [KO:K09228]","232855"
"Zfp114","zinc finger protein 114 [KO:K09228]","232966"
"Zfp790","zinc finger protein 790 [KO:K09228]","233056"
"Zfp940","zinc finger protein 940 [KO:K09228]","233057"
"Zfp382","zinc finger protein 382 [KO:K09228]","233060"
"Zfp939","zinc finger protein 939 [KO:K09228]","233147"
NA,"expressed sequence AI987944 [KO:K09228]","233168"
"Zfp764","zinc finger protein 764 [KO:K09228]","233893"
"Zfp958","zinc finger protein 958 [KO:K09228]","233987"
"Zfp930","zinc finger protein 930 [KO:K09228]","234358"
"Zfp868","zinc finger protein 868 [KO:K09228]","234362"
"Zfp961","zinc finger protein 961 [KO:K09228]","234413"
"Zfp612","zinc finger protein 612 [KO:K09228]","234725"
"Zfp426","zinc finger protein 426 [KO:K09228]","235028"
"Zfp809","zinc finger protein 809 [KO:K09228]","235047"
"Zfp599","zinc finger protein 599 [KO:K09228]","235048"
"Zfp810","zinc finger protein 810 [KO:K09228]","235050"
"Zfp65","zinc finger protein 65 [KO:K09228]","235907"
"Zfp825","zinc finger protein 825 [KO:K09228]","235956"
"Zfp709","zinc finger protein 709 [KO:K09228]","236193"
"Zfp938","zinc finger protein 938 [KO:K09228]","237411"
"Zfp454","zinc finger protein 454 [KO:K09228]","237758"
"Zfp867","zinc finger protein 867 [KO:K09228]","237775"
"Zfp458","zinc finger protein 458 [KO:K09228]","238690"
"Zfp874a","zinc finger protein 874a [KO:K09228]","238692"
"Zfp58","zinc finger protein 58 [KO:K09228]","238693"
"Zfp647","zinc finger protein 647 [KO:K09228]","239546"
"Zfp641","zinc finger protein 641 [KO:K09228]","239652"
"Zfp760","zinc finger protein 760 [KO:K09228]","240034"
"Zfp994","zinc finger protein 994 [KO:K09228]","240038"
"Zfp811","zinc finger protein 811 [KO:K09228]","240063"
"Zfp799","zinc finger protein 799 [KO:K09228]","240064"
"Zfp870","zinc finger protein 870 [KO:K09228]","240066"
"Zfp952","zinc finger protein 952 [KO:K09228]","240067"
"Zfp563","zinc finger protein 563 [KO:K09228]","240068"
"Zfp119b","zinc finger protein 119b [KO:K09228]","240120"
"Zfp53","zinc finger protein 53 [KO:K09228]","24132"
"Zfp933","zinc finger protein 933 [KO:K09228]","242747"
"A430033K04Rik","RIKEN cDNA A430033K04 gene [KO:K09228]","243308"
"Zfp128","zinc finger protein 128 [KO:K09228]","243833"
"Zfp324","zinc finger protein 324 [KO:K09228]","243834"
"Zfp568","zinc finger protein 568 [KO:K09228]","243905"
"Zfp14","zinc finger protein 14 [KO:K09228]","243906"
"Zfp473","zinc finger protein 473 [KO:K09228]","243963"
"Zfp791","zinc finger protein 791 [KO:K09228]","244556"
"Zfp317","zinc finger protein 317 [KO:K09228]","244713"
"Zfp937","zinc finger protein 937 [KO:K09228]","245174"
"Zfp300","zinc finger protein 300 [KO:K09228]","245368"
"Zfp747","zinc finger protein 747 [KO:K09228]","269997"
"Zfp398","zinc finger protein 398 [KO:K09228]","272347"
"Zfp354b","zinc finger protein 354B [KO:K09228]","27274"
"Zfp354c","zinc finger protein 354C [KO:K09228]","30944"
"Zfp182","zinc finger protein 182 [KO:K09228]","319535"
"Zfp944","zinc finger protein 944 [KO:K09228]","319615"
"Zfp459","zinc finger protein 459 [KO:K09228]","328274"
"Zfp786","zinc finger protein 786 [KO:K09228]","330301"
"Zfp78","zinc finger protein 78 [KO:K09228]","330463"
"Zfp82","zinc finger protein 82 [KO:K09228]","330502"
"Zfp866","zinc finger protein 866 [KO:K09228]","330788"
"Gm5141","predicted gene 5141 [KO:K09228]","380850"
"Rsl1","regulator of sex limited protein 1 [KO:K09228]","380855"
"Zfp948","zinc finger protein 948 [KO:K09228]","381066"
"Zfp229","zinc finger protein 229 [KO:K09228]","381067"
"Zfp663","zinc finger protein 663 [KO:K09228]","381405"
"Zfp667","zinc finger protein 667 [KO:K09228]","384763"
"Zfp456","zinc finger protein 456 [KO:K09228]","408065"
"Zfp457","zinc finger protein 457 [KO:K09228]","431706"
"Zfp708","zinc finger protein 708 [KO:K09228]","432769"
"Zfp985","zinc finger protein 985 [KO:K09228]","433804"
"Zfp975","zinc finger protein 975 [KO:K09228]","434179"
"Zfp560","zinc finger protein 560 [KO:K09228]","434377"
"Zfp960","zinc finger protein 960 [KO:K09228]","449000"
"Zfp316","zinc finger protein 316 [KO:K09228]","54201"
"Zfp345","zinc finger protein 345 [KO:K09228]","545471"
"Zfp607a","zinc finger protein 607A [KO:K09228]","545938"
"Zfp108","zinc finger protein 108 [KO:K09228]","54678"
"Zfp386","zinc finger protein 386 (Kruppel-like) [KO:K09228]","56220"
"Zfp113","zinc finger protein 113 [KO:K09228]","56314"
"Zfp235","zinc finger protein 235 [KO:K09228]","56525"
"Zfp111","zinc finger protein 111 [KO:K09228]","56707"
"Zfp109","zinc finger protein 109 [KO:K09228]","56869"
"Rbak","RB-associated KRAB zinc finger [KO:K09228]","57782"
"Zfp872","zinc finger protein 872 [KO:K09228]","619310"
"Zfp551","zinc fingr protein 551 [KO:K09228]","619331"
"Zfp963","zinc finger protein 963 [KO:K09228]","620419"
"Zfp987","zinc finger protein 987 [KO:K09228]","626316"
"Zfp951","zinc finger protein 951 [KO:K09228]","626391"
"Gm14322","predicted gene 14322 [KO:K09228]","626802"
"Gm14430","predicted gene 14430 [KO:K09228]","627914"
"Zfp953","zinc finger protein 953 [KO:K09228]","629016"
"Zfp808","zinc finger protein 808 [KO:K09228]","630579"
"Zfp964","zinc finger protein 964 [KO:K09228]","636741"
"Gm14393","predicted gene 14393 [KO:K09228]","664987"
"Gm14391","predicted gene 14391 [KO:K09228]","665001"
"Gm14326","predicted gene 14326 [KO:K09228]","665211"
"Zfp991","zinc finger protein 991 [KO:K09228]","666532"
"Zfp600","zinc finger protein 600 [KO:K09228]","667666"
"Zfp936","zinc finger protein 936 [KO:K09228]","668620"
"Zfp869","zinc finger protein 869 [KO:K09228]","66869"
"Zfp442","zinc finger protein 442 [KO:K09228]","668923"
"Zfp169","zinc finger protein 169 [KO:K09228]","67911"
"Zfp707","zinc finger protein 707 [KO:K09228]","69020"
"Zfp746","zinc finger protein 746 [KO:K09228]","69228"
"Zfp33b","zinc finger protein 33B [KO:K09228]","69623"
"Zfp715","zinc finger protein 715 [KO:K09228]","69930"
"2810021J22Rik","RIKEN cDNA 2810021J22 gene [KO:K09228]","69944"
"Zfp619","zinc finger protein 619 [KO:K09228]","70227"
"Zfp597","zinc finger protein 597 [KO:K09228]","71063"
"Zfp689","zinc finger protein 689 [KO:K09228]","71131"
"Zfp935","zinc finger protein 935 [KO:K09228]","71508"
"Zfp251","zinc finger protein 251 [KO:K09228]","71591"
"Zfp949","zinc finger protein 949 [KO:K09228]","71640"
"2610008E11Rik","RIKEN cDNA 2610008E11 gene [KO:K09228]","72128"
"Zfp157","zinc finger protein 157 [KO:K09228]","72154"
"Zfp661","zinc finger protein 661 [KO:K09228]","72180"
"Zfp558","zinc finger protein 558 [KO:K09228]","72230"
"Zfp777","zinc finger protein 777 [KO:K09228]","72306"
"Zfp566","zinc finger protein 566 [KO:K09228]","72556"
"Zfp248","zinc finger protein 248 [KO:K09228]","72720"
"Zfp74","zinc finger protein 74 [KO:K09228]","72723"
"Zfp763","zinc finger protein 763 [KO:K09228]","73451"
"Zfp946","zinc finger protein 946 [KO:K09228]","74149"
"Zfp84","zinc finger protein 84 [KO:K09228]","74352"
"Zfp819","zinc finger protein 819 [KO:K09228]","74400"
"Zfp735","zinc finger protein 735 [KO:K09228]","76390"
"Zfp266","zinc finger protein 266 [KO:K09228]","77519"
"Zfp712","zinc finger protein 712 [KO:K09228]","78251"
"9130019O22Rik","RIKEN cDNA 9130019O22 gene [KO:K09228]","78921"
"Zfp688","zinc finger protein 688 [KO:K09228]","69234"
"Zfp212","Zinc finger protein 212 [KO:K09228]","232784"
"Zfp383","zinc finger protein 383 [KO:K09228]","73729"
"E430018J23Rik","RIKEN cDNA E430018J23 gene [KO:K09228]","101604"
"Zfp420","zinc finger protein 420 [KO:K09228]","233058"
"Zfp780b","zinc finger protein 780B [KO:K09228]","338354"
"Zfp112","zinc finger protein 112 [KO:K09228]","57745"
"Zfp605","zinc finger protein 605 [KO:K09228]","675812"
"Zfp874b","zinc finger protein 874b [KO:K09228]","408067"
"Zfp956","zinc finger protein 956 [KO:K09228]","101197"
"Zfp51","zinc finger protein 51 [KO:K09228]","22709"
"Zfp52","zinc finger protein 52 [KO:K09228]","22710"
"Zfp773","zinc finger protein 773 [KO:K09228]","76373"
"Zfp275","zinc finger protein 275 [KO:K09228]","27081"
"Zfp853","zinc finger protein 853 [KO:K09228]","330230"
"Zfp623","zinc finger protein 623 [KO:K09228]","78834"
"Zfp455","zinc finger protein 455 [KO:K09228]","218311"
"Zfp68","zinc finger protein 68 [KO:K09228]","24135"
"Zfp26","zinc finger protein 26 [KO:K09228]","22688"
"Zfp984","zinc finger protein 984 [KO:K09228]","100041677"
"Zfp768","zinc finger protein 768 [KO:K09228]","233890"
"Gm10778","predicted gene 10778 [KO:K09228]","100233208"
"Gm10324","predicted gene 10324 [KO:K09228]","628709"
"Gm14434","predicted gene 14434 [KO:K09228]","668039"
"Gm4724","predicted gene 4724 [KO:K09228]","100043915"
"Gm14308","predicted gene 14308 [KO:K09228]","100043381"
"Gm2026","predicted gene 2026 [KO:K09228]","100039060"
"Gm6710","predicted gene 6710 [KO:K09228]","626832"
"Zfp850","zinc finger protein 850 [KO:K09228]","100043772"
"Zfp729b","zinc finger protein 729b [KO:K09228]","100416706"
"Zfp788","zinc finger protein 788 [KO:K09228]","67607"
"Zfp69","zinc finger protein 69 [KO:K09228]","381549"
"Gm3055","predicted gene 3055 [KO:K09228]","100040944"
"Zfp273","zinc finger protein 273 [KO:K09228]","212569"
"Gm20997","predicted gene, 20997 [KO:K09228]","100504950"
NA,"zinc finger protein 431-like [KO:K09228]","102632383"
"Gm10323","predicted gene 10323 [KO:K09228]","105245545"
"Zfp950","zinc finger protein 950 [KO:K09228]","414758"
"Zfp141","zinc finger protein 141 [KO:K09228]","434178"
NA,"cDNA sequence BC024063 [KO:K09228]","666584"
"Zfp626","zinc finger protein 626 [KO:K09228]","71163"
"Zfp11","zinc finger protein 11 [KO:K09228]","22648"
"Gm19428","predicted gene, 19428 [KO:K09228]","100502880"
NA,"zinc finger protein 120-like [KO:K09228]","102639700"
"Gm12258","predicted gene 12258 [KO:K09228]","108167848"
"D3Ertd254e","DNA segment, Chr 3, ERATO Doi 254, expressed [KO:K09228]","241944"
"Gm13212","predicted gene 13212 [KO:K09228]","433801"
"Daxx","Fas death domain-associated protein [KO:K02308]","13163"
"Cd74","CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated) [KO:K06505]","16149"
"Srpk1","serine/arginine-rich protein specific kinase 1 [KO:K15409] [EC:2.7.11.1]","20815"
"Srsf1","serine/arginine-rich splicing factor 1 [KO:K12890]","110809"
"Srsf2","serine/arginine-rich splicing factor 2 [KO:K12891]","20382"
"Srsf3","serine/arginine-rich splicing factor 3 [KO:K12892]","20383"
"Srsf4","serine/arginine-rich splicing factor 4 [KO:K12893]","57317"
"Srsf5","serine/arginine-rich splicing factor 5 [KO:K12893]","20384"
"Srsf6","serine/arginine-rich splicing factor 6 [KO:K12893]","67996"
"Srsf7","serine/arginine-rich splicing factor 7 [KO:K12896]","225027"
"Srsf9","serine/arginine-rich splicing factor 9 [KO:K21123]","108014"
"Nxf1","nuclear RNA export factor 1 [KO:K14284]","53319"
"Nxf7","nuclear RNA export factor 7 [KO:K14284]","170722"
"Nxf2","nuclear RNA export factor 2 [KO:K14284]","83454"
"Nxf3","nuclear RNA export factor 3 [KO:K14284]","245610"
"Alyref","Aly/REF export factor [KO:K12881]","21681"
"Alyref2","Aly/REF export factor 2 [KO:K12881]","56009"
"Gm4340","predicted gene 4340 [KO:K12881]","100043292"
"Zfp36","zinc finger protein 36 [KO:K15308]","22695"
"Ccr1","chemokine (C-C motif) receptor 1 [KO:K04176]","12768"
"Ccr1l1","chemokine (C-C motif) receptor 1-like 1 [KO:K04176]","12770"
"Clec2h","C-type lectin domain family 2, member h [KO:K10071]","94071"
"Ubb","ubiquitin B [KO:K04551]","22187"
"Becn1","beclin 1, autophagy related [KO:K08334]","56208"
"Atg14","autophagy related 14 [KO:K17889]","100504663"
"Pik3c3","phosphatidylinositol 3-kinase catalytic subunit type 3 [KO:K00914] [EC:2.7.1.137]","225326"
"Atg3","autophagy related 3 [KO:K08343]","67841"
"Gabarapl1","gamma-aminobutyric acid (GABA) A receptor-associated protein-like 1 [KO:K08341]","57436"
"Gabarap","gamma-aminobutyric acid receptor associated protein [KO:K08341]","56486"
"Gabarapl2","gamma-aminobutyric acid (GABA) A receptor-associated protein-like 2 [KO:K08341]","93739"
"Pik3cg","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [KO:K21289] [EC:2.7.1.153]","30955"
"Pik3r5","phosphoinositide-3-kinase regulatory subunit 5 [KO:K21290]","320207"
"Pik3r6","phosphoinositide-3-kinase regulatory subunit 5 [KO:K21290]","104709"
"Prex1","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1 [KO:K12365]","277360"
"Cd200r1","CD200 receptor 1 [KO:K21668]","57781"
"Hck","hemopoietic cell kinase [KO:K08893] [EC:2.7.10.2]","15162"
"Cxcl1","chemokine (C-X-C motif) ligand 1 [KO:K05505]","14825"
"Cxcl2","chemokine (C-X-C motif) ligand 2 [KO:K05505]","20310"
"Cxcl3","chemokine (C-X-C motif) ligand 3 [KO:K05505]","330122"
"Rcan1","regulator of calcineurin 1 [KO:K17901]","54720"
"Angpt2","angiopoietin 2 [KO:K05466]","11601"
"Nrp1","neuropilin 1 [KO:K06724]","18186"
"Trrap","transformation/transcription domain-associated protein [KO:K08874]","100683"
"Kat5","K(lysine) acetyltransferase 5 [KO:K11304] [EC:2.3.1.48]","81601"
"Tln1","talin 1 [KO:K06271]","21894"
"Tln2","talin 2 [KO:K06271]","70549"
"Ranbp3","RAN binding protein 3 [KO:K15304]","71810"
"Ran","RAN, member RAS oncogene family [KO:K07936]","19384"
"Rasl2-9","RAS-like, family 2, locus 9 [KO:K07936]","19428"
"1700009N14Rik","RIKEN cDNA 1700009N14 gene [KO:K07936]","75471"
"Xpo1","exportin 1 [KO:K14290]","103573"
"Canx","calnexin [KO:K08054]","12330"
"Fdps","farnesyl diphosphate synthetase [KO:K00787] [EC:2.5.1.10 2.5.1.1]","110196"
"Vdac1","voltage-dependent anion channel 1 [KO:K05862]","22333"
"Slc25a4","solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4 [KO:K05863]","11739"
"Slc25a5","solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5 [KO:K05863]","11740"
"Slc25a31","solute carrier family 25 (mitochondrial carrier,adenine nucleotide translocator), member 31 [KO:K05863]","73333"
"Vdac2","voltage-dependent anion channel 2 [KO:K15040]","22334"
"Tspo","translocator protein [KO:K05770]","12257"
"Mad2l1","MAD2 mitotic arrest deficient-like 1 [KO:K02537]","56150"
"Bub1b","BUB1B, mitotic checkpoint serine/threonine kinase [KO:K06637] [EC:2.7.11.1]","12236"
"Bub3","BUB3 mitotic checkpoint protein [KO:K02180]","12237"
"Anapc1","anaphase promoting complex subunit 1 [KO:K03348]","17222"
"Anapc2","anaphase promoting complex subunit 2 [KO:K03349]","99152"
"Cdc27","cell division cycle 27 [KO:K03350]","217232"
"Anapc4","anaphase promoting complex subunit 4 [KO:K03351]","52206"
"Anapc5","anaphase-promoting complex subunit 5 [KO:K03352]","59008"
"Cdc16","CDC16 cell division cycle 16 [KO:K03353]","69957"
"Anapc7","anaphase promoting complex subunit 7 [KO:K03354]","56317"
"Cdc23","CDC23 cell division cycle 23 [KO:K03355]","52563"
"Anapc10","anaphase promoting complex subunit 10 [KO:K03357]","68999"
"Anapc11","anaphase promoting complex subunit 11 [KO:K03358]","66156"
"Cdc26","cell division cycle 26 [KO:K03359]","66440"
"Pttg1","pituitary tumor-transforming gene 1 [KO:K06635]","30939"
"Espl1","extra spindle pole bodies 1, separase [KO:K02365] [EC:3.4.22.49]","105988"
"Chek2","checkpoint kinase 2 [KO:K06641] [EC:2.7.11.1]","50883"
"Map3k1","mitogen-activated protein kinase kinase kinase 1 [KO:K04416] [EC:2.7.11.25]","26401"
"Mmp7","matrix metallopeptidase 7 [KO:K01397] [EC:3.4.24.23]","17393"
"Map3k3","mitogen-activated protein kinase kinase kinase 3 [KO:K04421] [EC:2.7.11.25]","26406"
"Gps2","G protein pathway suppressor 2 [KO:K15307]","56310"
"Nfyb","nuclear transcription factor-Y beta [KO:K08065]","18045"
"Ets2","E26 avian leukemia oncogene 2, 3' domain [KO:K21932]","23872"
"Egr1","early growth response 1 [KO:K09203]","13653"
"Fosl1","fos-like antigen 1 [KO:K04502]","14283"
"Crtc1","CREB regulated transcription coactivator 1 [KO:K15309]","382056"
"Crtc2","CREB regulated transcription coactivator 2 [KO:K16333]","74343"
"Crtc3","CREB regulated transcription coactivator 3 [KO:K16334]","70461"
"Msx1","msh homeobox 1 [KO:K09341]","17701"
"Msx2","msh homeobox 2 [KO:K09341]","17702"
"Msx3","msh homeobox 3 [KO:K09341]","17703"
"Tada3","transcriptional adaptor 3 [KO:K11315]","101206"
"Magi1","membrane associated guanylate kinase, WW and PDZ domain containing 1 [KO:K05631]","14924"
"Pard3","par-3 family cell polarity regulator [KO:K04237]","93742"
"Pard6a","par-6 family cell polarity regulator alpha [KO:K06093]","56513"
"Pard6b","par-6 family cell polarity regulator beta [KO:K06093]","58220"
"Pard6g","par-6 family cell polarity regulator gamma [KO:K06093]","93737"
"Prkci","protein kinase C, iota [KO:K06069] [EC:2.7.11.13]","18759"
"Dlg2","discs large MAGUK scaffold protein 2 [KO:K12075]","23859"
"Dlg3","discs large MAGUK scaffold protein 3 [KO:K21098]","53310"
"Llgl1","LLGL1 scribble cell polarity complex component [KO:K06094]","16897"
"Llgl2","LLGL2 scribble cell polarity complex component [KO:K06094]","217325"
"Crb3","crumbs family member 3 [KO:K06090]","224912"
"Patj","PATJ, crumbs cell polarity complex component [KO:K06092]","12695"
"Mpp5","membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5) [KO:K06091]","56217"
"Vwf","Von Willebrand factor [KO:K03900]","22371"
"Comp","cartilage oligomeric matrix protein [KO:K04659]","12845"
"Thbs2","thrombospondin 2 [KO:K04659]","21826"
"Thbs3","thrombospondin 3 [KO:K04659]","21827"
"Thbs4","thrombospondin 4 [KO:K04659]","21828"
"Col2a1","collagen, type II, alpha 1 [KO:K19719]","12824"
"Col6a2","collagen, type VI, alpha 2 [KO:K06238]","12834"
"Col6a1","collagen, type VI, alpha 1 [KO:K06238]","12833"
"Col6a6","collagen, type VI, alpha 6 [KO:K06238]","245026"
"Col6a3","collagen, type VI, alpha 3 [KO:K06238]","12835"
"Col6a4","collagen, type VI, alpha 4 [KO:K06238]","68553"
"Col6a5","collagen, type VI, alpha 5 [KO:K06238]","665033"
"Col9a1","collagen, type IX, alpha 1 [KO:K08131]","12839"
"Col9a2","collagen, type IX, alpha 2 [KO:K08131]","12840"
"Col9a3","collagen, type IX, alpha 3 [KO:K08131]","12841"
"Chad","chondroadherin [KO:K06248]","12643"
"Reln","reelin [KO:K06249] [EC:3.4.21.-]","19699"
"Spp1","secreted phosphoprotein 1 [KO:K06250]","20750"
"Ibsp","integrin binding sialoprotein [KO:K06253]","15891"
"Slc9a3r1","solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1 [KO:K13365]","26941"
"Ppp2ca","protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform [KO:K04382] [EC:3.1.3.16]","19052"
"Ppp2cb","protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform [KO:K04382] [EC:3.1.3.16]","19053"
"Ppp2r1a","protein phosphatase 2, regulatory subunit A, alpha [KO:K03456]","51792"
"Ppp2r1b","protein phosphatase 2, regulatory subunit A, beta [KO:K03456]","73699"
"Ppp2r2d","protein phosphatase 2, regulatory subunit B, delta [KO:K04354]","52432"
"Ppp2r2b","protein phosphatase 2, regulatory subunit B, beta [KO:K04354]","72930"
"Ppp2r2c","protein phosphatase 2, regulatory subunit B, gamma [KO:K04354]","269643"
"Ppp2r2a","protein phosphatase 2, regulatory subunit B, alpha [KO:K04354]","71978"
"Gm2436","predicted gene 2436 [KO:K11583]","100039815"
"Gm2446","predicted gene 2446 [KO:K11583]","100039830"
"Ppp2r3c","protein phosphatase 2, regulatory subunit B'', gamma [KO:K11583]","59032"
"Ppp2r3a","protein phosphatase 2, regulatory subunit B'', alpha [KO:K11583]","235542"
"Ppp2r3d","protein phosphatase 2 (formerly 2A), regulatory subunit B'', delta [KO:K11583]","19054"
"Ppp2r5b","protein phosphatase 2, regulatory subunit B', beta [KO:K11584]","225849"
"Ppp2r5c","protein phosphatase 2, regulatory subunit B', gamma [KO:K11584]","26931"
"Ppp2r5d","protein phosphatase 2, regulatory subunit B', delta [KO:K11584]","21770"
"Ppp2r5e","protein phosphatase 2, regulatory subunit B', epsilon [KO:K11584]","26932"
"Ppp2r5a","protein phosphatase 2, regulatory subunit B', alpha [KO:K11584]","226849"
"Nfx1","nuclear transcription factor, X-box binding 1 [KO:K12236]","74164"
"Irf1","interferon regulatory factor 1 [KO:K09444]","16362"
"Bcap31","B cell receptor associated protein 31 [KO:K14009]","27061"
"Tubg1","tubulin, gamma 1 [KO:K10389]","103733"
"Tubg2","tubulin, gamma 2 [KO:K10389]","103768"
"Oasl1","2'-5' oligoadenylate synthetase-like 1 [KO:K14608]","231655"
"Oasl2","2'-5' oligoadenylate synthetase-like 2 [KO:K14608]","23962"
"Mx2","MX dynamin-like GTPase 2 [KO:K14754]","17858"
"Psen1","presenilin 1 [KO:K04505] [EC:3.4.23.-]","19164"
"Lfng","LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [KO:K05948] [EC:2.4.1.222]","16848"
"Mfng","MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [KO:K05948] [EC:2.4.1.222]","17305"
"Rfng","RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [KO:K05948] [EC:2.4.1.222]","19719"
"Maml1","mastermind like transcriptional coactivator 1 [KO:K06061]","103806"
"Maml3","mastermind like transcriptional coactivator 3 [KO:K06061]","433586"
"Maml2","mastermind like transcriptional coactivator 2 [KO:K06061]","270118"
"Hes2","hes family bHLH transcription factor 2 [KO:K09087]","15206"
"Hes6","hairy and enhancer of split 6 [KO:K09087]","55927"
"Hes7","hes family bHLH transcription factor 7 [KO:K09087]","84653"
"Hes3","hes family bHLH transcription factor 3 [KO:K09088]","15207"
"Try10","trypsin 10 [KO:K01312] [EC:3.4.21.4]","436522"
"Prss2","protease, serine 2 [KO:K01312] [EC:3.4.21.4]","22072"
"2210010C04Rik","RIKEN cDNA 2210010C04 gene [KO:K01312] [EC:3.4.21.4]","67373"
"Try5","trypsin 5 [KO:K01312] [EC:3.4.21.4]","103964"
"Gm10334","predicted gene 10334 [KO:K01312] [EC:3.4.21.4]","100040233"
"Try4","trypsin 4 [KO:K01312] [EC:3.4.21.4]","22074"
"1810009J06Rik","RIKEN cDNA 1810009J06 gene [KO:K01312] [EC:3.4.21.4]","73626"
"Tmprss4","transmembrane protease, serine 4 [KO:K09635] [EC:3.4.21.-]","214523"
"Dnajb1","DnaJ heat shock protein family (Hsp40) member B1 [KO:K09507]","81489"
"Dnajc3","DnaJ heat shock protein family (Hsp40) member C3 [KO:K09523]","100037258"
"Hspa8","heat shock protein 8 [KO:K03283]","15481"
"Hspa1l","heat shock protein 1-like [KO:K03283]","15482"
"Hspa1a","heat shock protein 1A [KO:K03283]","193740"
"Hspa2","heat shock protein 2 [KO:K03283]","15512"
"Hspa1b","heat shock protein 1B [KO:K03283]","15511"
"Nlrx1","NLR family member X1 [KO:K12653]","270151"
"Trim25","tripartite motif-containing 25 [KO:K10652] [EC:2.3.2.27]","217069"
"Tlr7","toll-like receptor 7 [KO:K05404]","170743"
"Adar","adenosine deaminase, RNA-specific [KO:K12968] [EC:3.5.4.37]","56417"
"Nlrp3","NLR family, pyrin domain containing 3 [KO:K12800]","216799"
"Pycard","PYD and CARD domain containing [KO:K12799]","66824"
"Casp1","caspase 1 [KO:K01370] [EC:3.4.22.36]","12362"
"Il33","interleukin 33 [KO:K12967]","77125"
"Tnfsf10","tumor necrosis factor (ligand) superfamily, member 10 [KO:K04721]","22035"
"Tnfrsf10b","tumor necrosis factor receptor superfamily, member 10b [KO:K04722]","21933"
"Kpna1","karyopherin (importin) alpha 1 [KO:K15042]","16646"
"Kpna2","karyopherin (importin) alpha 2 [KO:K15043]","16647"
"Ddx39b","DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B [KO:K12812] [EC:3.6.4.13]","53817"
"Agfg1","ArfGAP with FG repeats 1 [KO:K15044]","15463"
"Rsad2","radical S-adenosyl methionine domain containing 2 [KO:K15045]","58185"
"Ivns1abp","influenza virus NS1A binding protein [KO:K15046]","117198"
"Cpsf4","cleavage and polyadenylation specific factor 4 [KO:K14404]","54188"
"Pabpn1","poly(A) binding protein, nuclear 1 [KO:K14396]","54196"
"Pabpn1l","poly(A)binding protein nuclear 1-like [KO:K14396]","382035"
"Nxt1","NTF2-related export protein 1 [KO:K14285]","56488"
"Nxt2","nuclear transport factor 2-like export factor 2 [KO:K14285]","237082"
"Rae1","ribonucleic acid export 1 [KO:K14298]","66679"
"Hnrnpul1","heterogeneous nuclear ribonucleoprotein U-like 1 [KO:K15047]","232989"
"Nup98","nucleoporin 98 [KO:K14297]","269966"
"Furin","furin (paired basic amino acid cleaving enzyme) [KO:K01349] [EC:3.4.21.75]","18550"
"Tmprss13","transmembrane protease, serine 13 [KO:K09643]","214531"
"Plg","plasminogen [KO:K01315] [EC:3.4.21.7]","18815"
"Ccl4","chemokine (C-C motif) ligand 4 [KO:K12964]","20303"
"Cx3cl1","chemokine (C-X3-C motif) ligand 1 [KO:K05508]","20312"
"Akap13","A kinase (PRKA) anchor protein 13 [KO:K16529]","75547"
"Bcar1","breast cancer anti-estrogen resistance 1 [KO:K05726]","12927"
"Il10ra","interleukin 10 receptor, alpha [KO:K05134]","16154"
"Il10rb","interleukin 10 receptor, beta [KO:K05135]","16155"
"Cxcr2","chemokine (C-X-C motif) receptor 2 [KO:K05050]","12765"
"Cd209c","CD209c antigen [KO:K06563]","170776"
"Cd209d","CD209d antigen [KO:K06563]","170779"
"Cd209e","CD209e antigen [KO:K06563]","170780"
"Cd209a","CD209a antigen [KO:K06563]","170786"
"Cd209b","CD209b antigen [KO:K06563]","69165"
"Cd209f","CD209f antigen [KO:K06563]","69142"
"Cd209g","CD209g antigen [KO:K06563]","70192"
"Tacr1","tachykinin receptor 1 [KO:K04222]","21336"
"Cd46","CD46 antigen, complement regulatory protein [KO:K04007]","17221"
"Slamf1","signaling lymphocytic activation molecule family member 1 [KO:K06536]","27218"
"Sh2d1a","SH2 domain containing 1A [KO:K07990]","20400"
"Dok1","docking protein 1 [KO:K14752]","13448"
"Prkcq","protein kinase C, theta [KO:K18052] [EC:2.7.11.13]","18761"
"Cblb","Casitas B-lineage lymphoma b [KO:K22517] [EC:2.3.2.27]","208650"
